Algorithm,n,k,AvgComparisons,AvgSwaps
quick_sort,1000,1,10901.00,6335.00
dual_pivot_quick_sort,1000,1,9894.00,3848.00
select_qs,1000,1,59701.00,18481.00
select_dpqs,1000,1,76333.00,21582.00
quick_sort,2000,1,26818.00,12476.00
dual_pivot_quick_sort,2000,1,22245.00,8876.00
select_qs,2000,1,138330.00,41184.00
select_dpqs,2000,1,176595.00,48713.00
quick_sort,3000,1,37395.00,19667.00
dual_pivot_quick_sort,3000,1,36068.00,14551.00
select_qs,3000,1,225034.00,64879.00
select_dpqs,3000,1,287439.00,77412.00
quick_sort,4000,1,53903.00,31620.00
dual_pivot_quick_sort,4000,1,48935.00,21818.00
select_qs,4000,1,317312.00,91327.00
select_dpqs,4000,1,404330.00,106480.00
quick_sort,5000,1,70973.00,40781.00
dual_pivot_quick_sort,5000,1,66716.00,29542.00
select_qs,5000,1,410963.00,117373.00
select_dpqs,5000,1,528158.00,141455.00
quick_sort,6000,1,84417.00,44001.00
dual_pivot_quick_sort,6000,1,78262.00,34300.00
select_qs,6000,1,507828.00,143200.00
select_dpqs,6000,1,642104.00,169411.00
quick_sort,7000,1,106247.00,54171.00
dual_pivot_quick_sort,7000,1,95043.00,39067.00
select_qs,7000,1,610881.00,172272.00
select_dpqs,7000,1,772016.00,202898.00
quick_sort,8000,1,120409.00,64215.00
dual_pivot_quick_sort,8000,1,116009.00,44730.00
select_qs,8000,1,696998.00,196194.00
select_dpqs,8000,1,915148.00,237132.00
quick_sort,9000,1,135843.00,77361.00
dual_pivot_quick_sort,9000,1,122992.00,54707.00
select_qs,9000,1,811878.00,227530.00
select_dpqs,9000,1,1040312.00,268864.00
quick_sort,10000,1,148107.00,83784.00
dual_pivot_quick_sort,10000,1,138507.00,59220.00
select_qs,10000,1,919019.00,256243.00
select_dpqs,10000,1,1170630.00,300369.00
quick_sort,11000,1,169078.00,93893.00
dual_pivot_quick_sort,11000,1,160595.00,65123.00
select_qs,11000,1,1020948.00,282891.00
select_dpqs,11000,1,1310430.00,337261.00
quick_sort,12000,1,190564.00,102544.00
dual_pivot_quick_sort,12000,1,171110.00,71624.00
select_qs,12000,1,1126216.00,310063.00
select_dpqs,12000,1,1453603.00,368554.00
quick_sort,13000,1,214791.00,107652.00
dual_pivot_quick_sort,13000,1,188069.00,73849.00
select_qs,13000,1,1228700.00,339312.00
select_dpqs,13000,1,1594709.00,407670.00
quick_sort,14000,1,229678.00,120242.00
dual_pivot_quick_sort,14000,1,203092.00,92598.00
select_qs,14000,1,1343378.00,370324.00
select_dpqs,14000,1,1734485.00,443724.00
quick_sort,15000,1,257921.00,134754.00
dual_pivot_quick_sort,15000,1,223869.00,90944.00
select_qs,15000,1,1446383.00,398809.00
select_dpqs,15000,1,1886735.00,484160.00
