n,AvgTimePrim,AvgTimeKruskal,AvgPrimOperations,AvgKruskalOperations
1000,3162.3,43677.4,1.01423e+06,8.993e+06
2000,10214.9,193041,4.03141e+06,3.9984e+07
3000,20777.1,445641,9.04925e+06,9.8973e+07
4000,35633.2,812784,1.60681e+07,1.75964e+08
5000,58958.1,1.33132e+06,2.50874e+07,2.87452e+08
6000,83878,1.94124e+06,3.61068e+07,4.3194e+08
7000,123417,2.66511e+06,4.9127e+07,5.8793e+08
8000,173733,3.64816e+06,6.41473e+07,7.6792e+08
9000,225259,4.67886e+06,8.11678e+07,1.01241e+09
10000,286036,5.66603e+06,1.00189e+08,1.24989e+09
